"InsurancePolicyNumber","CustomerLoyaltyPeriod","DateOfPolicyCoverage","InsurancePolicyState","Policy_CombinedSingleLimit","Policy_Deductible","PolicyAnnualPremium","UmbrellaLimit","InsuredRelationship","CustomerID"
147336,217,2002-05-20,"State3","100/300",912,1024.75,0,"wife","Cust38215"
147338,177,2008-06-17,"State3","250/500",700,1194.55,0,"other-relative","Cust38217"
147340,205,2004-05-19,"State3","250/500",847,1076.49,0,"wife","Cust38219"
147341,223,2002-05-20,"State1","100/500",945,998.32,0,"other-relative","Cust38220"
147343,286,1996-08-24,"State3","250/500",1482,1069.31,0,"wife","Cust38222"
147344,375,1992-06-25,"State1","250/500",603,890.4,0,"unmarried","Cust38223"
147345,170,2008-04-14,"State1","250/500",610,1520.68,0,"wife","Cust38224"
147346,176,2007-04-15,"State2","250/500",629,1494.72,0,"wife","Cust38225"
147347,144,2010-03-12,"State1","250/500",522,1637.92,0,"husband","Cust38226"
147348,258,2002-07-23,"State2","250/500",904,1127.22,0,"wife","Cust38227"
147349,182,2007-05-16,"State1","250/500",651,1465.87,0,"wife","Cust38228"
147350,238,2003-06-21,"State1","250/500",839,1214.43,0,"husband","Cust38229"
147351,318,2003-08-18,"State2","100/300",1597,1040.85,0,"husband","Cust38230"
147352,303,2002-09-16,"State2","250/300",1443,996.99,0,"unmarried","Cust38231"
147353,345,2002-07-23,"State3","250/500",1575,1355.68,0,"husband","Cust38232"
147357,191,2008-10-21,"State2","250/500",1469,1133.81,0,"wife","Cust38236"
147359,273,2001-09-12,"State2","100/300",1128,907.12,0,"husband","Cust38238"
147360,220,1998-09-19,"State1","100/300",1000,1051.4,0,"not-in-family","Cust38239"
147361,28,1997-06-20,"State1","250/500",700,1519.6,3004244,"other-relative","Cust38240"
147362,208,1997-09-18,"State1","250/500",1000,1103.67,0,"own-child","Cust38241"
147363,246,1995-05-21,"State1","250/500",725,1547.88,0,"own-child","Cust38242"
147364,109,1991-07-12,"State1","250/500",933,1683.57,0,"own-child","Cust38243"
147365,51,1993-07-13,"State1","250/500",887,1648.72,1133047,"own-child","Cust38244"
147366,49,1993-07-14,"State1","250/500",870,1636.87,1304766,"other-relative","Cust38245"
147367,210,1994-06-18,"State1","250/500",779,1583.12,0,"own-child","Cust38246"
147370,280,2008-05-17,"State1","500/1000",500,970.43,0,"not-in-family","Cust38249"
147371,87,2006-01-02,"State2","500/1000",982,1076.43,0,"unmarried","Cust38250"
147372,274,2007-05-17,"State2","500/1000",500,987.46,0,"husband","Cust38251"
147373,189,2003-03-28,"State1","500/1000",533,1251.89,0,"not-in-family","Cust38252"
147375,212,2003-01-23,"State1","500/1000",992,1519.75,0,"not-in-family","Cust38254"
147376,88,2006-01-02,"State2","500/1000",978,1077.7,0,"unmarried","Cust38255"
147377,232,2005-04-22,"State2","500/1000",500,1105.91,0,"not-in-family","Cust38256"
147378,278,2000-12-09,"State3","250/500",500,1558.94,0,"not-in-family","Cust38257"
147379,339,2006-09-23,"State3","250/500",623,1106.88,0,"not-in-family","Cust38258"
147383,338,2006-09-23,"State3","250/500",625,1107.43,0,"not-in-family","Cust38262"
147384,383,2007-10-23,"State3","250/500",500,1073.92,0,"not-in-family","Cust38263"
147386,277,2005-07-24,"State1","250/500",784,1143.88,0,"not-in-family","Cust38265"
147387,202,2006-05-04,"State2","250/500",500,1435.35,0,"not-in-family","Cust38266"
147389,70,1997-11-19,"State2","250/500",500,1245.06,2706068,"wife","Cust38268"
147391,147,1995-12-13,"State3","500/500",500,1465.03,529463,"not-in-family","Cust38270"
147392,157,1993-11-07,"State2","250/500",737,1418.27,0,"not-in-family","Cust38271"
147393,156,1994-12-12,"State2","500/500",500,1489.94,282974,"wife","Cust38272"
147395,125,1995-12-14,"State2","500/500",500,1402.52,1148079,"wife","Cust38274"
147397,376,1991-12-17,"State1","100/300",2000,1364,0,"husband","Cust38276"
147398,333,1993-12-11,"State1","100/300",2000,1298.88,0,"husband","Cust38277"
147399,353,1992-12-14,"State1","100/300",2000,1328.73,0,"unmarried","Cust38278"
147400,268,2005-08-04,"State2","100/300",875,1046.5,0,"husband","Cust38279"
147401,320,1994-12-09,"State1","100/300",2000,1279.06,0,"husband","Cust38280"
147402,349,1993-10-18,"State1","100/300",2000,1348.73,0,"husband","Cust38281"
147404,274,2003-09-04,"State1","100/300",1156,1094.63,0,"not-in-family","Cust38283"
147405,178,1996-12-15,"State2","500/1000",1955,1268.32,0,"own-child","Cust38284"
147406,288,1993-11-18,"State3","500/1000",2000,1216.06,0,"own-child","Cust38285"
147407,191,1996-12-15,"State3","500/1000",2000,1243.22,0,"own-child","Cust38286"
147408,241,1994-11-17,"State3","500/1000",2000,1229.14,0,"own-child","Cust38287"
147409,55,1992-08-16,"State3","500/1000",1295,1291.9,0,"unmarried","Cust38288"
147411,159,1995-11-15,"State3","500/1000",1886,1253.96,0,"unmarried","Cust38290"
147412,72,1993-09-16,"State3","500/1000",1390,1285.77,0,"own-child","Cust38291"
147413,154,1992-08-08,"State2","500/1000",1097,1681.83,0,"own-child","Cust38292"
147415,132,2009-05-17,"State3","250/500",1499,1505.96,0,"own-child","Cust38294"
147416,77,2011-06-06,"State3","250/500",1009,1620.61,0,"own-child","Cust38295"
147418,258,2006-08-20,"State1","250/500",1000,1460.72,0,"husband","Cust38297"
147421,195,2008-07-15,"State3","250/500",1000,1516.47,0,"husband","Cust38300"
147422,80,2011-07-06,"State2","250/500",949,1579.03,0,"husband","Cust38301"
147423,133,2004-09-06,"State3","250/500",837,1323.67,4049580,"husband","Cust38302"
147425,143,2008-08-03,"State3","250/500",947,1402.23,5367796,"husband","Cust38304"
147430,112,1996-12-11,"State3","250/500",955,1156.38,1516393,"own-child","Cust38309"
147431,110,1996-12-12,"State3","250/500",850,1139.29,1166160,"own-child","Cust38310"
147432,138,1992-01-03,"State1","500/1000",631,1513.87,1310189,"own-child","Cust38311"
147433,143,1996-02-07,"State3","500/500",949,1220.01,4493213,"own-child","Cust38312"
147434,136,1997-03-11,"State1","500/500",869,1194.07,3687239,"own-child","Cust38313"
147435,146,1995-01-04,"State1","500/1000",937,1283.42,4373917,"own-child","Cust38314"
147437,148,1996-01-04,"State1","250/500",999,1235.92,4987702,"own-child","Cust38316"
147438,161,1995-02-08,"State1","500/1000",1000,1304.92,3989875,"own-child","Cust38317"
147440,179,1994-02-14,"State1","500/1000",1000,1405.57,2507645,"own-child","Cust38319"
147441,135,2006-08-02,"State2","500/500",500,1317.37,0,"own-child","Cust38320"
147443,160,2007-09-03,"State3","250/500",500,1309.48,0,"own-child","Cust38322"
147444,197,2007-10-03,"State2","500/500",500,1297.54,0,"own-child","Cust38323"
147445,89,1997-04-13,"State2","250/500",939,1133.6,0,"own-child","Cust38324"
147447,155,2001-07-10,"State2","250/500",800,1175.61,0,"unmarried","Cust38326"
147448,245,2006-12-06,"State2","250/500",1816,1460.73,0,"own-child","Cust38327"
147449,257,2007-12-06,"State2","250/500",1507,1414.98,0,"other-relative","Cust38328"
147450,210,1992-02-09,"State2","250/500",500,1420.99,0,"not-in-family","Cust38329"
147451,133,1992-01-05,"State2","250/500",500,1501.75,0,"not-in-family","Cust38330"
147452,260,1992-03-11,"State2","250/500",500,1368.93,0,"other-relative","Cust38331"
147453,207,1999-02-05,"State2","250/500",743,1547.5,0,"other-relative","Cust38332"
147454,272,2005-03-04,"State2","250/500",940,1578.69,0,"other-relative","Cust38333"
147455,148,1992-02-09,"State2","250/500",597,1463.91,968913,"other-relative","Cust38334"
147456,212,2000-02-04,"State2","250/500",758,1549.8,0,"other-relative","Cust38335"
147458,168,1991-04-12,"State3","250/500",686,1422.64,1857621,"other-relative","Cust38337"
147460,136,1997-11-15,"State3","250/500",2000,1111,0,"wife","Cust38339"
147462,180,1997-11-18,"State3","250/500",2000,1110.09,0,"other-relative","Cust38341"
147463,196,1997-11-18,"State3","250/500",2000,1111.19,0,"other-relative","Cust38342"
147466,379,1999-09-28,"State3","250/500",2000,1123.65,0,"other-relative","Cust38345"
147468,333,2008-11-17,"State3","500/1000",2000,1353.53,6413190,"wife","Cust38347"
147469,358,2005-08-19,"State2","500/1000",2000,1456.7,4396067,"wife","Cust38348"
147470,353,2002-07-18,"State2","500/1000",2000,1487.19,3221032,"not-in-family","Cust38349"
147471,343,2009-11-18,"State3","500/1000",2000,1362.71,6564430,"wife","Cust38350"
147472,362,2007-09-22,"State2","500/1000",1745,1361.08,5216091,"own-child","Cust38351"
147473,363,2008-10-22,"State2","500/1000",1774,1364.21,5415210,"wife","Cust38352"
147474,354,2003-07-18,"State2","500/1000",2000,1482.43,3404349,"not-in-family","Cust38353"
147475,285,2002-09-10,"State2","500/1000",2000,1307.41,5652820,"wife","Cust38354"
147476,341,2009-11-18,"State3","500/1000",2000,1361.29,6541036,"wife","Cust38355"
147478,256,1992-05-19,"State2","100/300",1000,979.26,0,"other-relative","Cust38357"
147479,245,1995-05-19,"State2","100/300",1000,1018.92,0,"other-relative","Cust38358"
147480,256,1992-05-19,"State2","100/300",1000,978.06,0,"other-relative","Cust38359"
147481,220,2002-06-20,"State2","100/300",1000,1112.05,0,"other-relative","Cust38360"
147483,224,1996-04-11,"State2","100/300",1721,1152.47,0,"other-relative","Cust38362"
147484,212,1998-03-08,"State3","100/300",1985,1217.53,0,"other-relative","Cust38363"
147485,161,2003-09-17,"State2","100/300",1000,983.57,0,"other-relative","Cust38364"
147487,129,1997-07-28,"State3","250/500",500,1112.45,0,"wife","Cust38366"
147489,162,1995-06-28,"State3","250/500",500,1158.4,0,"wife","Cust38368"
147490,410,1991-06-21,"State1","250/500",500,1108.35,0,"wife","Cust38369"
147491,119,1998-07-29,"State3","250/500",500,1098.96,0,"own-child","Cust38370"
147492,190,1997-09-11,"State3","250/500",1951,851.68,0,"own-child","Cust38371"
147493,191,1997-09-12,"State3","250/500",1936,856.03,0,"own-child","Cust38372"
147496,238,2007-06-13,"State2","100/300",1854,810.7,0,"own-child","Cust38375"
147497,187,2005-09-15,"State3","100/300",1361,1117.02,0,"own-child","Cust38376"
147498,258,2005-05-12,"State3","100/300",1869,785.82,0,"own-child","Cust38377"
147499,154,2004-11-17,"State3","100/300",1042,1315.91,0,"own-child","Cust38378"
147500,269,2000-06-13,"State3","100/300",1607,918.97,0,"unmarried","Cust38379"
147503,206,2003-06-14,"State1","100/300",2000,821.86,0,"own-child","Cust38382"
147505,213,1998-03-05,"State3","500/1000",1741,1410.96,1551993,"unmarried","Cust38384"
147506,290,2001-02-08,"State3","500/1000",2000,1495.38,0,"husband","Cust38385"
147508,255,1997-03-08,"State3","500/1000",1538,1520.02,2771660,"other-relative","Cust38387"
147511,272,1994-05-13,"State3","500/1000",1180,1516.8,4922472,"unmarried","Cust38390"
147513,273,2006-08-10,"State2","500/1000",500,1395.61,0,"own-child","Cust38392"
147514,216,2004-09-16,"State2","500/1000",688,1268.37,0,"not-in-family","Cust38393"
147515,145,2002-10-24,"State2","500/1000",919,1111.45,0,"not-in-family","Cust38394"
147516,272,2006-08-10,"State2","250/500",500,1382.46,0,"other-relative","Cust38395"
147517,222,2000-11-17,"State2","500/500",500,1073.96,0,"husband","Cust38396"
147518,248,2005-08-13,"State2","500/1000",583,1339.17,0,"husband","Cust38397"
147519,261,2004-09-12,"State2","250/500",500,1316.03,0,"other-relative","Cust38398"
147520,256,2004-09-13,"State2","500/1000",500,1284.42,0,"husband","Cust38399"
147522,273,2010-03-19,"State3","500/1000",1000,1364.28,0,"own-child","Cust38401"
147523,273,2011-07-24,"State3","500/1000",1000,1246.25,0,"own-child","Cust38402"
147524,254,2007-06-28,"State3","250/500",1000,1230.83,0,"own-child","Cust38403"
147525,254,2008-06-28,"State3","250/1000",1000,1230.76,0,"own-child","Cust38404"
147527,273,2010-04-20,"State3","500/1000",1000,1332.7,0,"own-child","Cust38406"
147528,273,2011-08-26,"State3","500/1000",1000,1212.68,0,"own-child","Cust38407"
147529,273,2011-08-25,"State3","500/1000",1000,1228.78,0,"own-child","Cust38408"
147530,275,2010-09-26,"State3","500/1000",1000,1211.3,0,"not-in-family","Cust38409"
147531,228,1996-05-19,"State3","100/300",839,1360.01,1356408,"not-in-family","Cust38410"
147532,252,1994-04-19,"State3","100/300",696,1372.32,783117,"not-in-family","Cust38411"
147534,143,2004-07-17,"State2","100/300",1342,1316.79,3369834,"not-in-family","Cust38413"
147535,240,2000-05-28,"State2","100/300",1731,1251.23,0,"not-in-family","Cust38414"
147536,279,1992-03-21,"State2","100/300",672,1369.82,0,"wife","Cust38415"
147537,238,2000-06-28,"State2","100/300",1769,1247.06,0,"wife","Cust38416"
147538,165,2002-07-17,"State3","100/300",1214,1327.85,2854435,"not-in-family","Cust38417"
147539,284,1996-04-21,"State2","100/300",623,1430.96,0,"own-child","Cust38418"
147540,120,2009-11-11,"State1","500/1000",1000,1206.06,0,"husband","Cust38419"
147541,258,2003-12-19,"State3","500/1000",1000,1353.75,0,"husband","Cust38420"
147543,282,2006-11-24,"State3","500/1000",1000,1298.8,0,"own-child","Cust38422"
147544,288,2002-12-21,"State3","500/1000",1000,1377.52,0,"own-child","Cust38423"
147546,283,2005-11-23,"State3","500/1000",1000,1314.79,0,"own-child","Cust38425"
147547,252,2000-08-22,"State1","250/1000",722,1241.44,0,"not-in-family","Cust38426"
147549,309,2010-08-15,"State1","250/500",1062,1159.69,5374951,"wife","Cust38428"
147550,115,1998-04-11,"State1","250/500",2000,708.93,5237837,"wife","Cust38429"
147551,338,2010-07-19,"State1","250/500",1437,1162.46,5624719,"wife","Cust38430"
147552,190,2002-04-15,"State1","250/500",2000,838.46,5453524,"wife","Cust38431"
147553,377,2011-05-25,"State1","250/500",1961,1177.63,5845600,"wife","Cust38432"
147554,89,1997-04-10,"State1","250/500",2000,664.06,5163106,"unmarried","Cust38433"
147555,305,2004-07-18,"State1","250/500",1164,1405.12,2654565,"own-child","Cust38434"
147556,305,2004-07-18,"State2","250/500",1160,1406.05,2641576,"wife","Cust38435"
147557,330,2009-05-22,"State1","250/500",2000,1081.16,5857690,"unmarried","Cust38436"
147558,77,1998-11-23,"State2","100/300",1677,1192.33,3385392,"own-child","Cust38437"
147559,47,2002-10-21,"State1","100/300",1359,1363.19,1796242,"own-child","Cust38438"
147560,14,2006-10-18,"State2","100/300",1008,1551.84,41592,"own-child","Cust38439"
147561,131,2010-11-22,"State1","100/300",711,1185.22,0,"wife","Cust38440"
147562,97,2009-11-21,"State2","100/300",794,1291.87,0,"not-in-family","Cust38441"
147563,142,2010-11-22,"State1","100/300",685,1151.65,0,"not-in-family","Cust38442"
147565,153,2011-11-23,"State1","100/300",660,1119.32,0,"not-in-family","Cust38444"
147566,83,1997-11-23,"State2","100/300",1750,1153.19,3749417,"own-child","Cust38445"
147567,255,2003-07-08,"State3","500/1000",896,1369.71,0,"own-child","Cust38446"
147568,326,2002-06-12,"State3","500/1000",1237,1249.18,0,"wife","Cust38447"
147569,349,2003-07-19,"State3","500/1000",1619,-1,0,"other-relative","Cust38448"
147571,326,2002-06-12,"State3","500/1000",1239,1249.46,0,"other-relative","Cust38450"
147572,363,2004-08-23,"State3","500/1000",1845,1344.39,0,"other-relative","Cust38451"
147573,301,1995-03-17,"State3","500/1000",1000,1291.18,0,"unmarried","Cust38452"
147574,296,1993-02-21,"State3","500/1000",1000,1321.59,0,"wife","Cust38453"
147575,353,2003-07-20,"State3","500/1000",1689,1319.94,0,"wife","Cust38454"
147576,266,2009-02-12,"State3","100/300",1972,1568.99,0,"wife","Cust38455"
147577,253,2005-09-06,"State3","100/300",1057,1261.08,0,"wife","Cust38456"
147579,265,2006-02-14,"State3","100/300",2000,1493.06,0,"wife","Cust38458"
147580,263,1999-02-15,"State3","100/300",2000,1530.25,0,"husband","Cust38459"
147581,262,2008-04-10,"State3","100/300",1740,1491.11,0,"husband","Cust38460"
147583,262,2002-01-18,"State3","100/300",2000,1357.61,0,"husband","Cust38462"
147584,259,1996-01-23,"State3","100/300",2000,1176.27,0,"husband","Cust38463"
147586,24,1996-01-19,"State1","500/1000",978,1903.89,0,"wife","Cust38465"
147587,24,1996-01-19,"State1","500/1000",979,1904.47,0,"wife","Cust38466"
147589,30,2001-05-14,"State2","500/1000",536,1519.48,0,"wife","Cust38468"
147590,36,2001-05-14,"State2","250/1000",500,1484.38,0,"wife","Cust38469"
147591,54,2007-08-10,"State2","100/1000",500,1465.56,2784296,"wife","Cust38470"
147592,233,1995-04-14,"State2","250/500",500,1360.87,0,"wife","Cust38471"
147593,51,2006-07-10,"State2","500/300",500,1468.86,2379463,"wife","Cust38472"
147594,194,2001-02-16,"State2","100/300",985,1087.87,0,"own-child","Cust38473"
147595,170,2003-03-15,"State2","250/300",889,1031.38,0,"own-child","Cust38474"
147596,211,2000-02-16,"State2","250/500",946,1119.25,0,"own-child","Cust38475"
147597,301,1993-04-14,"State2","250/500",576,1275.02,0,"not-in-family","Cust38476"
147600,230,1999-03-15,"State2","250/500",870,1151.37,0,"own-child","Cust38479"
147601,165,2003-03-14,"State3","100/300",870,1020.18,0,"husband","Cust38480"
147602,282,1995-03-15,"State2","250/500",653,1242.7,0,"own-child","Cust38481"
147603,284,1993-11-18,"State3","500/1000",2000,1217.13,0,"own-child","Cust38482"
147604,296,1994-11-18,"State3","500/1000",1956,1220.78,0,"own-child","Cust38483"
147605,424,2009-08-21,"State3","500/1000",1081,1328.57,0,"own-child","Cust38484"
147607,230,1995-12-16,"State3","500/1000",2000,1232.35,0,"own-child","Cust38486"
147609,290,1993-11-18,"State1","500/1000",2000,1214.94,0,"own-child","Cust38488"
147610,247,1994-11-17,"State3","500/1000",2000,1227.47,0,"own-child","Cust38489"
147611,423,2008-08-21,"State3","500/1000",1091,1327.32,0,"own-child","Cust38490"
147612,278,1996-02-16,"State2","100/300",1582,1159.13,0,"husband","Cust38491"
147614,254,1992-02-14,"State3","100/300",1588,1447.3,0,"husband","Cust38493"
147615,275,1995-02-17,"State2","100/300",1662,1221.19,0,"husband","Cust38494"
147616,231,1993-03-16,"State3","100/300",1736,1364.25,0,"husband","Cust38495"
147618,279,1997-02-16,"State3","100/300",1565,1145.92,0,"husband","Cust38497"
147619,280,1997-02-16,"State3","100/300",1539,1126.25,0,"husband","Cust38498"
147620,255,1992-02-14,"State3","100/300",1620,1450.02,0,"not-in-family","Cust38499"
147622,215,1999-07-17,"State3","250/500",1411,906.39,0,"own-child","Cust38501"
147623,282,1991-03-02,"State3","250/500",1000,1158.45,0,"other-relative","Cust38502"
147625,281,1991-03-02,"State3","250/500",1000,1157.69,0,"other-relative","Cust38504"
147628,260,1995-04-10,"State3","250/500",1000,1066.88,0,"other-relative","Cust38507"
147629,251,1997-04-14,"State3","250/500",1000,1027.83,0,"other-relative","Cust38508"
147630,228,2002-04-10,"State3","500/1000",1322,1314.68,0,"not-in-family","Cust38509"
147631,141,2012-08-24,"State1","500/1000",1927,1222.86,0,"own-child","Cust38510"
147632,220,2013-07-14,"State1","500/1000",1417,1427.23,0,"own-child","Cust38511"
147634,174,2013-08-20,"State1","500/1000",1718,1306.34,0,"husband","Cust38513"
147635,275,2014-07-06,"State1","500/1000",1068,1567.33,0,"husband","Cust38514"
147638,119,2012-07-24,"State3","500/1000",1878,1243.37,0,"other-relative","Cust38517"
147639,228,2004-11-18,"State2","100/300",919,1122.04,0,"not-in-family","Cust38518"
147640,224,2003-11-21,"State2","100/300",806,1260.08,0,"own-child","Cust38519"
147641,219,2003-12-24,"State2","100/300",646,1454.48,0,"own-child","Cust38520"
147643,227,2004-11-18,"State2","100/300",904,1140.25,0,"own-child","Cust38522"
147644,229,2004-11-16,"State1","100/300",992,1030.01,0,"husband","Cust38523"
147646,235,2004-11-17,"State1","100/500",1000,1081.11,0,"own-child","Cust38525"
147648,193,2003-02-27,"State1","500/1000",625,1305.56,0,"husband","Cust38527"
147649,186,2001-03-19,"State1","500/1000",1526,1314.05,0,"husband","Cust38528"
147650,197,2003-02-26,"State1","500/1000",702,1350.4,0,"not-in-family","Cust38529"
147653,183,2005-03-20,"State1","500/1000",1000,1456.17,0,"husband","Cust38532"
147657,202,1998-12-13,"State3","500/1000",1807,1325.34,0,"own-child","Cust38536"
147659,248,2003-11-10,"State3","500/1000",1428,1479.24,0,"own-child","Cust38538"
147661,281,2001-08-08,"State3","500/1000",1000,1496.47,0,"other-relative","Cust38540"
147663,208,1999-12-13,"State3","500/1000",1760,1344.31,0,"other-relative","Cust38542"
147664,223,2000-12-12,"State3","500/1000",1630,1397.31,0,"other-relative","Cust38543"
147666,147,1999-08-21,"State1","250/500",786,1066.18,0,"other-relative","Cust38545"
147667,164,1999-07-21,"State1","250/500",722,1079.23,0,"other-relative","Cust38546"
147669,224,2000-05-21,"State1","250/500",1000,958.66,0,"other-relative","Cust38548"
147670,165,2000-07-18,"State1","250/500",684,1105.29,0,"other-relative","Cust38549"
147671,209,1999-06-23,"State1","250/500",551,1114.19,0,"other-relative","Cust38550"
147674,151,2000-08-18,"State1","250/500",742,1090.03,0,"other-relative","Cust38553"
147675,384,1994-10-08,"State1","100/300",987,1597.08,0,"unmarried","Cust38554"
147679,348,1991-11-18,"State1","100/300",1796,1402.76,0,"own-child","Cust38558"
147680,339,1991-10-18,"State1","100/300",1761,1403.86,0,"own-child","Cust38559"
147681,286,1992-09-15,"State1","100/300",1546,1410.52,0,"own-child","Cust38560"
147682,328,1991-10-17,"State1","100/300",1718,1405.18,0,"own-child","Cust38561"
147683,49,1997-03-06,"State1","100/300",588,1440.25,0,"own-child","Cust38562"
147685,155,2001-06-10,"State2","100/500",1000,1040.69,165342,"husband","Cust38564"
147687,158,2001-06-10,"State2","100/300",981,1059.04,0,"husband","Cust38566"
147688,155,2001-06-10,"State2","100/500",1000,1041.18,177893,"husband","Cust38567"
147689,112,2003-05-17,"State2","100/300",1480,981.69,0,"husband","Cust38568"
147690,132,2002-05-13,"State2","100/300",1245,1007.46,0,"husband","Cust38569"
147692,145,2001-06-11,"State1","100/300",1079,1025.63,0,"husband","Cust38571"
147695,220,2008-05-21,"State3","100/300",852,1316.94,0,"not-in-family","Cust38574"
147696,203,2009-05-16,"State3","100/300",1238,1260.93,0,"not-in-family","Cust38575"
147697,206,2009-04-17,"State3","100/300",1165,1259.21,0,"not-in-family","Cust38576"
147698,187,2007-08-15,"State3","100/300",1661,1270.81,0,"own-child","Cust38577"
147701,223,2008-06-22,"State3","100/300",792,1342.22,0,"not-in-family","Cust38580"
147702,262,2009-06-05,"State2","100/300",541,1029.99,0,"own-child","Cust38581"
147704,277,2012-07-21,"State2","100/300",919,1465.34,0,"not-in-family","Cust38583"
147705,265,2010-06-08,"State2","100/300",627,1129.05,0,"not-in-family","Cust38584"
147706,168,2002-06-09,"State2","100/300",928,1026.78,0,"husband","Cust38585"
147707,183,2003-06-08,"State2","100/300",856,1019.28,0,"not-in-family","Cust38586"
147708,263,2010-06-07,"State2","100/300",585,1079.94,0,"own-child","Cust38587"
147709,276,2011-07-20,"State2","100/300",899,1443.26,0,"not-in-family","Cust38588"
147710,292,1995-12-05,"State2","100/300",1965,1233.11,0,"not-in-family","Cust38589"
147711,243,2003-08-10,"State2","500/1000",500,1325.8,0,"husband","Cust38590"
147714,241,1993-04-05,"State1","500/1000",1540,1176.99,0,"husband","Cust38593"
147715,120,2001-10-27,"State2","500/1000",999,1056.74,0,"husband","Cust38594"
147717,225,2002-09-10,"State2","500/1000",500,1283.53,0,"husband","Cust38596"
147718,127,1997-10-18,"State2","500/1000",725,1066.26,0,"husband","Cust38597"
147719,175,1998-09-11,"State2","500/1000",500,1170.98,0,"husband","Cust38598"
147720,276,2004-07-19,"State1","250/500",1250,1259.93,0,"own-child","Cust38599"
147721,280,2004-07-19,"State1","250/500",1304,1261.15,0,"other-relative","Cust38600"
147722,279,2004-07-19,"State1","250/500",1292,1260.87,0,"own-child","Cust38601"
147723,266,2010-09-08,"State1","250/500",1228,1463.55,0,"own-child","Cust38602"
147724,311,2002-08-23,"State1","250/500",1816,1272.91,0,"other-relative","Cust38603"
147725,318,2001-09-24,"State1","250/500",1929,1275.5,0,"own-child","Cust38604"
147727,264,2005-06-17,"State1","250/500",1049,1255.31,0,"other-relative","Cust38606"
147728,280,2004-07-19,"State1","250/500",1311,1261.3,0,"other-relative","Cust38607"
147730,190,2013-08-09,"State2","500/1000",966,1410.47,4661354,"husband","Cust38609"
147731,190,2013-08-09,"State2","500/1000",963,1410.31,4626272,"husband","Cust38610"
147733,209,2012-09-14,"State2","500/1000",729,1399.37,2292863,"husband","Cust38612"
147735,221,2012-09-17,"State2","500/1000",585,1392.61,850319,"husband","Cust38614"
147736,197,2013-08-11,"State2","500/1000",874,1406.15,3738810,"husband","Cust38615"
147737,249,2002-08-11,"State2","500/1000",798,1332.22,0,"husband","Cust38616"
147738,246,1998-08-23,"State2","100/300",500,1458.36,0,"husband","Cust38617"
147739,242,1998-03-11,"State2","100/300",500,1260.1,0,"husband","Cust38618"
147741,271,2004-08-12,"State2","100/300",500,1413.57,0,"husband","Cust38620"
147742,247,1991-10-28,"State3","100/300",500,1547.31,0,"husband","Cust38621"
147744,245,2000-07-21,"State2","100/300",500,1422.37,0,"unmarried","Cust38623"
147745,247,1992-09-27,"State2","100/300",500,1530.25,0,"husband","Cust38624"
147749,446,2001-11-28,"State2","500/1000",1000,1163.31,1796619,"other-relative","Cust38628"
147750,411,1999-12-28,"State2","500/1000",1000,1137.29,3655854,"other-relative","Cust38629"
147753,366,1997-10-28,"State2","500/1000",1200,1130.76,3200695,"other-relative","Cust38632"
147754,356,1997-10-28,"State2","500/1000",1252,1130.3,2990228,"other-relative","Cust38633"
147755,319,1995-08-28,"State2","500/1000",1447,1128.64,2213078,"unmarried","Cust38634"
147757,333,1995-08-19,"State1","500/1000",532,1149.93,3746715,"other-relative","Cust38636"
147758,263,1990-10-14,"State1","500/1000",500,1187.81,365908,"own-child","Cust38637"
147759,280,1993-09-23,"State1","500/1000",879,1220.79,971825,"other-relative","Cust38638"
147760,389,1998-11-26,"State2","500/1000",879,1135.14,4000000,"other-relative","Cust38639"
147761,332,1995-08-19,"State1","500/1000",500,1147.23,3690696,"own-child","Cust38640"
147762,256,1990-10-13,"State1","500/1000",500,1191.49,63670,"own-child","Cust38641"
147764,325,1994-08-20,"State1","500/1000",585,1160.78,3321739,"other-relative","Cust38643"
147765,196,2007-04-20,"State1","100/300",1840,1290.53,0,"not-in-family","Cust38644"
147766,52,1994-05-12,"State1","100/300",893,1066.75,0,"not-in-family","Cust38645"
147767,223,1991-03-16,"State1","100/300",592,1434.45,0,"not-in-family","Cust38646"
147769,60,1995-05-13,"State1","100/300",873,1065.44,0,"not-in-family","Cust38648"
147770,155,1992-03-14,"State1","100/300",721,1319.75,0,"not-in-family","Cust38649"
147771,96,2000-04-15,"State2","100/300",1392,1174.9,0,"not-in-family","Cust38650"
147773,163,2005-04-18,"State2","100/300",1695,1253,0,"not-in-family","Cust38652"
147774,294,2014-06-20,"State1","250/500",1348,1506.71,2434871,"not-in-family","Cust38653"
147778,256,2013-03-16,"State2","250/500",1000,1301.37,4300918,"husband","Cust38657"
147779,266,2014-05-16,"State2","250/500",1000,1338.92,2422541,"not-in-family","Cust38658"
147780,294,2014-06-20,"State1","250/500",1350,1507.37,2448458,"not-in-family","Cust38659"
147781,256,2013-03-16,"State1","250/500",1000,1303.44,4197288,"husband","Cust38660"
147783,241,2001-07-20,"State1","250/500",500,1100.73,0,"husband","Cust38662"
147784,257,2003-09-17,"State1","250/500",507,1085.14,57698,"own-child","Cust38663"
147786,250,2002-07-19,"State1","250/500",500,1033.62,3366855,"husband","Cust38665"
147789,236,2001-07-20,"State1","250/500",500,1106.78,0,"not-in-family","Cust38668"
147790,251,2002-07-18,"State1","250/500",500,1044.62,2626321,"husband","Cust38669"
